month,year,kraj,monthly_min_wage
august,2013,STC,8500
august,2013,PAK,8500
august,2013,VYS,8500
august,2013,JHC,8500
august,2013,JHM,8500
august,2013,PLK,8500
august,2013,OLK,8500
august,2013,KVK,8500
august,2013,ZLK,8500
august,2013,ULK,8500
august,2013,MSK,8500
august,2013,LBK,8500
september,2013,PHA,8500
september,2013,HKK,8500
september,2013,STC,8500
september,2013,PAK,8500
september,2013,VYS,8500
september,2013,JHC,8500
september,2013,JHM,8500
september,2013,PLK,8500
september,2013,OLK,8500
september,2013,KVK,8500
september,2013,ZLK,8500
september,2013,ULK,8500
september,2013,MSK,8500
september,2013,LBK,8500
october,2013,PHA,8500
october,2013,HKK,8500
october,2013,STC,8500
october,2013,PAK,8500
october,2013,VYS,8500
october,2013,JHC,8500
october,2013,JHM,8500
october,2013,PLK,8500
october,2013,OLK,8500
october,2013,KVK,8500
october,2013,ZLK,8500
october,2013,ULK,8500
october,2013,MSK,8500
october,2013,LBK,8500
november,2013,PHA,8500
november,2013,HKK,8500
november,2013,STC,8500
november,2013,PAK,8500
november,2013,VYS,8500
november,2013,JHC,8500
november,2013,JHM,8500
november,2013,PLK,8500
november,2013,OLK,8500
november,2013,KVK,8500
november,2013,ZLK,8500
november,2013,ULK,8500
november,2013,MSK,8500
november,2013,LBK,8500
december,2013,PHA,8500
december,2013,HKK,8500
december,2013,STC,8500
december,2013,PAK,8500
december,2013,VYS,8500
december,2013,JHC,8500
december,2013,JHM,8500
december,2013,PLK,8500
december,2013,OLK,8500
december,2013,KVK,8500
december,2013,ZLK,8500
december,2013,ULK,8500
december,2013,MSK,8500
december,2013,LBK,8500
january,2014,PHA,8500
january,2014,HKK,8500
january,2014,STC,8500
january,2014,PAK,8500
january,2014,VYS,8500
january,2014,JHC,8500
january,2014,JHM,8500
january,2014,PLK,8500
january,2014,OLK,8500
january,2014,KVK,8500
january,2014,ZLK,8500
january,2014,ULK,8500
january,2014,MSK,8500
january,2014,LBK,8500
february,2014,PHA,8500
february,2014,HKK,8500
february,2014,STC,8500
february,2014,PAK,8500
february,2014,VYS,8500
february,2014,JHC,8500
february,2014,JHM,8500
february,2014,PLK,8500
february,2014,OLK,8500
february,2014,KVK,8500
february,2014,ZLK,8500
february,2014,ULK,8500
february,2014,MSK,8500
february,2014,LBK,8500
march,2014,PHA,8500
march,2014,HKK,8500
march,2014,STC,8500
march,2014,PAK,8500
march,2014,VYS,8500
march,2014,JHC,8500
march,2014,JHM,8500
march,2014,PLK,8500
march,2014,OLK,8500
march,2014,KVK,8500
march,2014,ZLK,8500
march,2014,ULK,8500
march,2014,MSK,8500
march,2014,LBK,8500
april,2014,PHA,8500
april,2014,HKK,8500
april,2014,STC,8500
april,2014,PAK,8500
april,2014,VYS,8500
april,2014,JHC,8500
april,2014,JHM,8500
april,2014,PLK,8500
april,2014,OLK,8500
april,2014,KVK,8500
april,2014,ZLK,8500
april,2014,ULK,8500
april,2014,MSK,8500
april,2014,LBK,8500
may,2014,PHA,8500
may,2014,HKK,8500
may,2014,STC,8500
may,2014,PAK,8500
may,2014,VYS,8500
may,2014,JHC,8500
may,2014,JHM,8500
may,2014,PLK,8500
may,2014,OLK,8500
may,2014,KVK,8500
may,2014,ZLK,8500
may,2014,ULK,8500
may,2014,MSK,8500
may,2014,LBK,8500
june,2014,PHA,8500
june,2014,HKK,8500
june,2014,STC,8500
june,2014,PAK,8500
june,2014,VYS,8500
june,2014,JHC,8500
june,2014,JHM,8500
june,2014,PLK,8500
june,2014,OLK,8500
june,2014,KVK,8500
june,2014,ZLK,8500
june,2014,ULK,8500
june,2014,MSK,8500
june,2014,LBK,8500
july,2014,PHA,8500
july,2014,HKK,8500
july,2014,STC,8500
july,2014,PAK,8500
july,2014,VYS,8500
july,2014,JHC,8500
july,2014,JHM,8500
july,2014,PLK,8500
july,2014,OLK,8500
july,2014,KVK,8500
july,2014,ZLK,8500
july,2014,ULK,8500
july,2014,MSK,8500
july,2014,LBK,8500
august,2014,PHA,8500
august,2014,HKK,8500
august,2014,STC,8500
august,2014,PAK,8500
august,2014,VYS,8500
august,2014,JHC,8500
august,2014,JHM,8500
august,2014,PLK,8500
august,2014,OLK,8500
august,2014,KVK,8500
august,2014,ZLK,8500
august,2014,ULK,8500
august,2014,MSK,8500
august,2014,LBK,8500
september,2014,PHA,8500
september,2014,HKK,8500
september,2014,STC,8500
september,2014,PAK,8500
september,2014,VYS,8500
september,2014,JHC,8500
september,2014,JHM,8500
september,2014,PLK,8500
september,2014,OLK,8500
september,2014,KVK,8500
september,2014,ZLK,8500
september,2014,ULK,8500
september,2014,MSK,8500
september,2014,LBK,8500
october,2014,PHA,8500
october,2014,HKK,8500
october,2014,STC,8500
october,2014,PAK,8500
october,2014,VYS,8500
october,2014,JHC,8500
october,2014,JHM,8500
october,2014,PLK,8500
october,2014,OLK,8500
october,2014,KVK,8500
october,2014,ZLK,8500
october,2014,ULK,8500
october,2014,MSK,8500
october,2014,LBK,8500
november,2014,PHA,8500
november,2014,HKK,8500
november,2014,STC,8500
november,2014,PAK,8500
november,2014,VYS,8500
november,2014,JHC,8500
november,2014,JHM,8500
november,2014,PLK,8500
november,2014,OLK,8500
november,2014,KVK,8500
november,2014,ZLK,8500
november,2014,ULK,8500
