month,year,kraj,celkem,m_do_65,z_do_65,monthly_min_wage,monthly_inflation_rate_wrt_last_year,reer
july,2023,HKK,394,133,144,17300,8.8,115.41
july,2023,LBK,307,87,133,17300,8.8,115.41
july,2023,MSK,509,142,188,17300,8.8,115.41
july,2023,OLK,367,112,181,17300,8.8,115.41
july,2023,PAK,455,129,177,17300,8.8,115.41
july,2023,PLK,877,217,477,17300,8.8,115.41
july,2023,STC,1212,415,528,17300,8.8,115.41
july,2023,ZLK,314,100,156,17300,8.8,115.41
july,2023,ULK,375,158,140,17300,8.8,115.41
august,2023,PHA,1884,631,822,17300,8.5,115.41
august,2023,JHM,609,234,278,17300,8.5,115.41
august,2023,JHC,256,100,106,17300,8.5,115.41
august,2023,KVK,221,32,121,17300,8.5,115.41
august,2023,VYS,418,110,180,17300,8.5,115.41
august,2023,HKK,365,121,128,17300,8.5,115.41
august,2023,LBK,290,121,110,17300,8.5,115.41
august,2023,MSK,334,144,129,17300,8.5,115.41
august,2023,OLK,197,63,111,17300,8.5,115.41
august,2023,PAK,253,72,125,17300,8.5,115.41
august,2023,PLK,617,179,321,17300,8.5,115.41
august,2023,STC,875,304,377,17300,8.5,115.41
august,2023,ZLK,152,56,55,17300,8.5,115.41
august,2023,ULK,224,111,64,17300,8.5,115.41
september,2023,PHA,2009,774,767,17300,6.9,115.41
september,2023,JHM,880,252,465,17300,6.9,115.41
september,2023,JHC,231,73,121,17300,6.9,115.41
september,2023,KVK,277,50,172,17300,6.9,115.41
september,2023,VYS,334,117,163,17300,6.9,115.41
september,2023,HKK,372,120,178,17300,6.9,115.41
september,2023,LBK,192,86,92,17300,6.9,115.41
september,2023,MSK,337,122,133,17300,6.9,115.41
september,2023,OLK,182,63,99,17300,6.9,115.41
september,2023,PAK,274,102,138,17300,6.9,115.41
september,2023,PLK,703,195,386,17300,6.9,115.41
september,2023,STC,985,333,502,17300,6.9,115.41
september,2023,ZLK,162,70,65,17300,6.9,115.41
september,2023,ULK,186,80,69,17300,6.9,115.41
