kraj,month,year,bilance
MSK,9,2007,-565
OLK,9,2007,-565
ULK,9,2007,-565
ZLK,9,2007,-565
JHC,9,2007,-565
PHA,10,2007,-2.732
STC,10,2007,-2.732
JHM,10,2007,-2.732
PLK,10,2007,-2.732
HKK,10,2007,-2.732
VYS,10,2007,-2.732
KVK,10,2007,-2.732
LBK,10,2007,-2.732
PAK,10,2007,-2.732
MSK,10,2007,-2.732
OLK,10,2007,-2.732
ULK,10,2007,-2.732
ZLK,10,2007,-2.732
JHC,10,2007,-2.732
PHA,11,2007,-1.298
STC,11,2007,-1.298
JHM,11,2007,-1.298
PLK,11,2007,-1.298
HKK,11,2007,-1.298
VYS,11,2007,-1.298
KVK,11,2007,-1.298
LBK,11,2007,-1.298
PAK,11,2007,-1.298
MSK,11,2007,-1.298
OLK,11,2007,-1.298
ULK,11,2007,-1.298
ZLK,11,2007,-1.298
JHC,11,2007,-1.298
PHA,12,2007,-10.828
STC,12,2007,-10.828
JHM,12,2007,-10.828
PLK,12,2007,-10.828
HKK,12,2007,-10.828
VYS,12,2007,-10.828
KVK,12,2007,-10.828
LBK,12,2007,-10.828
PAK,12,2007,-10.828
MSK,12,2007,-10.828
OLK,12,2007,-10.828
ULK,12,2007,-10.828
ZLK,12,2007,-10.828
JHC,12,2007,-10.828
PHA,1,2008,2.502
STC,1,2008,2.502
JHM,1,2008,2.502
PLK,1,2008,2.502
HKK,1,2008,2.502
VYS,1,2008,2.502
KVK,1,2008,2.502
LBK,1,2008,2.502
PAK,1,2008,2.502
MSK,1,2008,2.502
OLK,1,2008,2.502
ULK,1,2008,2.502
ZLK,1,2008,2.502
JHC,1,2008,2.502
PHA,2,2008,1.137
STC,2,2008,1.137
JHM,2,2008,1.137
PLK,2,2008,1.137
HKK,2,2008,1.137
VYS,2,2008,1.137
KVK,2,2008,1.137
LBK,2,2008,1.137
PAK,2,2008,1.137
MSK,2,2008,1.137
OLK,2,2008,1.137
ULK,2,2008,1.137
ZLK,2,2008,1.137
JHC,2,2008,1.137
PHA,3,2008,-4.411
