month,year,kraj,uchazeciOZamestnaniUoZ,noveHlaseniUchazeci,noveHlasenaAUvolnenaVPM,obsazenaAZrusenaVPM,absolventiSkolAMladistvi
5,2010,ZLK,31659,2544,799,897,1759
6,2010,HKK,20937,2421,934,858,1100
6,2010,JHC,23721,2834,1215,1275,1397
6,2010,JHM,60486,5361,2014,1957,3053
6,2010,KVK,18092,1628,485,420,881
6,2010,LBK,24538,2345,736,694,1183
6,2010,MSK,75779,6543,2019,2186,3404
6,2010,OLK,36289,3031,1083,1037,1677
6,2010,PAK,23052,2304,1425,1472,1176
6,2010,PHA,31794,4389,2823,3187,1253
6,2010,PLK,24802,2775,1210,1029,1043
6,2010,STC,48278,5600,1826,1667,2275
6,2010,ULK,57867,4660,866,977,2654
6,2010,VYS,24133,2240,500,419,1455
6,2010,ZLK,30732,2657,1026,1162,1454
7,2010,HKK,21154,2810,921,953,1144
7,2010,JHC,23846,3187,1146,944,1484
7,2010,JHM,61046,6490,2013,1683,3201
7,2010,KVK,18090,1731,493,521,875
7,2010,LBK,24789,2563,605,572,1183
7,2010,MSK,76205,7344,1708,1584,3622
7,2010,OLK,36494,3698,943,908,1761
7,2010,PAK,23318,2819,1103,1118,1276
7,2010,PHA,32856,4824,2182,2477,1278
7,2010,PLK,25086,3078,706,878,1136
7,2010,STC,49109,6002,1443,1529,2267
7,2010,ULK,57944,5136,864,638,2589
7,2010,VYS,24494,2865,530,359,1545
7,2010,ZLK,30853,3087,833,774,1500
8,2010,HKK,20915,2408,1052,1059,1363
8,2010,JHC,23674,3013,970,996,1673
8,2010,JHM,60720,5935,2772,2091,3788
8,2010,KVK,17750,1619,562,560,903
8,2010,LBK,24372,2389,901,813,1244
8,2010,MSK,75988,6957,2193,1858,4227
8,2010,OLK,36125,3362,949,929,2062
8,2010,PAK,22965,2365,1192,1061,1478
8,2010,PHA,33059,4433,3200,1854,1428
8,2010,PLK,24689,2682,1026,880,1304
8,2010,STC,48926,5595,2522,2264,2582
8,2010,ULK,57587,4937,1036,1037,2885
8,2010,VYS,24326,2339,622,631,1838
8,2010,ZLK,30398,2707,930,806,1808
9,2010,HKK,20961,3837,1100,1119,1999
9,2010,JHC,23646,4442,1266,1255,2280
9,2010,JHM,60612,8670,2428,2471,5064
9,2010,KVK,17773,2445,455,528,1257
9,2010,LBK,24008,3500,743,716,1549
9,2010,MSK,76146,9933,2015,2056,5855
9,2010,OLK,36104,5115,956,1096,2902
9,2010,PAK,22829,3795,1072,1360,2026
9,2010,PHA,32876,5877,2677,3472,1864
9,2010,PLK,24369,4096,975,905,1915
9,2010,STC,49197,8334,1675,1754,3618
9,2010,ULK,57734,7385,1008,951,3953
9,2010,VYS,24046,3494,635,688,2415
9,2010,ZLK,30180,4155,816,917,2615
10,2010,HKK,20730,2800,1144,1218,1912
10,2010,JHC,23694,3443,1048,1194,2213
10,2010,JHM,59929,6072,2305,2191,4872
10,2010,KVK,17725,1815,350,469,1242
10,2010,LBK,23726,2618,709,640,1551
10,2010,MSK,75423,6861,1561,1781,5658
10,2010,OLK,35694,3449,815,917,2789
10,2010,PAK,22654,2630,1110,1024,1949
10,2010,PHA,32386,4731,2590,3447,1918
10,2010,PLK,23718,2889,848,921,1765
10,2010,STC,48772,6001,1466,1824,3675
10,2010,ULK,57015,5005,1148,939,3793
10,2010,VYS,24084,2652,506,524,2358
10,2010,ZLK,29611,2758,780,740,2432
11,2010,HKK,21450,3482,938,1088,1748
11,2010,JHC,24957,4272,946,1084,2098
11,2010,JHM,61873,7752,2888,3154,4639
11,2010,KVK,18521,2425,339,369,1191
11,2010,LBK,23814,3039,700,916,1412
11,2010,MSK,76470,8291,1788,1813,5386
11,2010,OLK,37096,4842,926,948,2660
11,2010,PAK,23243,3391,1176,1252,1805
11,2010,PHA,32213,4591,2563,2470,1801
11,2010,PLK,24131,3553,878,897,1625
11,2010,STC,49730,7064,1234,1397,3404
11,2010,ULK,58295,6945,846,861,3636
11,2010,VYS,24825,3318,508,587,2215
11,2010,ZLK,30022,3606,686,894,2198
12,2010,HKK,24678,5510,725,891,1703
12,2010,JHC,29545,6857,727,701,2084
12,2010,JHM,69342,11825,1156,1949,4644
12,2010,KVK,19922,2803,181,245,1173
12,2010,LBK,25653,3924,440,531,1390
12,2010,MSK,82776,11795,1145,1384,5224
12,2010,OLK,42117,7726,559,646,2703
12,2010,PAK,27359,6059,675,962,1784
12,2010,PHA,33433,5203,2244,2245,1717
12,2010,PLK,27267,5417,620,575,1608
12,2010,STC,54716,9435,1599,1412,3332
12,2010,ULK,61947,8044,580,579,3606
12,2010,VYS,29410,6454,326,404,2196
12,2010,ZLK,33386,5469,574,561,2193
1,2011,HKK,24862,3313,1046,864,1612
1,2011,JHC,30920,4742,880,1025,1996
1,2011,JHM,70119,7538,2403,2184,4435
1,2011,KVK,20642,2438,416,347,1192
1,2011,LBK,25821,3107,791,666,1331
1,2011,MSK,83829,8651,1933,1925,5086
1,2011,OLK,43214,4799,1104,964,2600
1,2011,PAK,27968,3535,932,849,1742
1,2011,PHA,33663,4864,2570,3257,1646
1,2011,PLK,28003,3792,879,995,1573
1,2011,STC,55923,7392,1803,1404,3249
1,2011,ULK,62760,6174,972,923,3597
1,2011,VYS,30205,3406,714,513,2153
1,2011,ZLK,33934,3773,912,849,2113
2,2011,HKK,24575,2214,1150,868,1597
2,2011,JHC,30823,2917,854,681,2023
2,2011,JHM,69486,5348,1874,2075,4433
2,2011,KVK,20344,1513,447,336,1177
2,2011,LBK,25672,2433,561,655,1355
2,2011,MSK,83251,6209,1736,1702,5150
2,2011,OLK,42731,2952,1138,943,2594
2,2011,PAK,27585,2129,1220,1083,1744
2,2011,PHA,33814,4464,2718,2226,1702
2,2011,PLK,27352,2500,924,1074,1554
2,2011,STC,55396,5244,1387,1506,3261
2,2011,ULK,62561,4768,795,897,3551
2,2011,VYS,29725,1994,531,628,2179
2,2011,ZLK,33581,2471,756,646,2146
3,2011,HKK,23721,2489,1139,1191,1540
3,2011,JHC,29197,3094,1062,1032,2014
3,2011,JHM,66984,5410,1865,2132,4322
3,2011,KVK,19539,1660,528,425,1131
3,2011,LBK,25200,2487,796,719,1376
3,2011,MSK,81278,6449,2504,1983,5026
3,2011,OLK,40766,3002,1414,1171,2539
3,2011,PAK,25977,2195,1180,971,1678
3,2011,PHA,33713,4638,3403,3020,1717
3,2011,PLK,25821,2695,951,933,1434
3,2011,STC,53876,5727,1925,1757,3206
3,2011,ULK,60902,4847,1057,882,3486
3,2011,VYS,28273,2157,617,564,2157
3,2011,ZLK,32515,2613,888,782,2125
4,2011,HKK,21703,2406,1173,1038,1407
4,2011,JHC,26318,2800,1090,864,1892
4,2011,JHM,62958,5273,1892,1635,4132
4,2011,KVK,18603,1545,392,318,1083
4,2011,LBK,24459,2501,915,864,1336
4,2011,MSK,77378,6193,1978,1673,4756
4,2011,OLK,37707,2880,1154,1037,2427
4,2011,PAK,23464,2210,1075,969,1591
4,2011,PHA,33104,4206,2891,2523,1649
4,2011,PLK,23843,2484,866,684,1313
4,2011,STC,50784,5167,1302,1407,3029
4,2011,ULK,58508,4596,814,736,3355
4,2011,VYS,24834,1924,683,646,1998
